"";"strsplit(filename, ""\\."")[[1]][1]";"header"
"1";"T0305";"305"
"2";"T0305";"X"
"3";"T0305";"QUEZEL P."
"4";"T0305";"1956"
"5";"T0305";"Contribution … l'‚tude des forˆts de chˆnes … feuilles caduques d'Alg‚rie.- Mem. Soc. Hist. Nat. Af. Nord, NS, I: 57 p."
"6";"T0305";"X"
"7";"T0305";"Rubo incanescenti-Quercetum fagineae ilicetosum"
"8";"T0305";"IV"
"9";"T0305";"4"
"10";"T0305";"7-10"
"11";"T0305";"M‚diterran‚en"
"12";"T0305";"Alg‚rie"
"13";"T0305";"Ch‚naie z‚en"
"14";"T0305";"G.Roux"
"15";"T0306";"306"
"16";"T0306";"X"
"17";"T0306";"QUEZEL P."
"18";"T0306";"1956"
"19";"T0306";"Contribution … l'‚tude des forˆts de chˆnes … feuilles caduques d'Alg‚rie.- Mem. Soc. Hist. Nat. Af. Nord, NS, I: 57 p."
"20";"T0306";"X"
"21";"T0306";"Rubo incanescenti-Quercetum fagineae"
"22";"T0306";"IV"
"23";"T0306";"5"
"24";"T0306";"11-15"
"25";"T0306";"M‚diterran‚en"
"26";"T0306";"Alg‚rie"
"27";"T0306";"Ch‚naie z‚en"
"28";"T0306";"G.Roux"
"29";"T0307";"307"
"30";"T0307";"MOUTTE P."
"31";"T0307";"1971"
"32";"T0307";"La v‚g‚tation du massif cristallin des Maurettes (Var). - Annales S.S.N.A.T.V: 86-106."
"33";"T0307";"Oleo-Ceratonion"
"34";"T0307";"Oleo-Lentiscetum"
"35";"T0307";"88"
"36";"T0307";"1"
"37";"T0307";"1"
"38";"T0307";"M‚diterran‚en"
"39";"T0307";"France"
"40";"T0307";"Ch‚naie verte"
"41";"T0307";"G. Roux"
"42";"T0308";"308"
"43";"T0308";"MOUTTE P."
"44";"T0308";"1971"
"45";"T0308";"La v‚g‚tation du massif cristallin des Maurettes (Var). - Annales S.S.N.A.T.V: 86-106."
"46";"T0308";"Quercion ilicis"
"47";"T0308";"Quercetum ilicis"
"48";"T0308";"91"
"49";"T0308";"4"
"50";"T0308";"1-4"
"51";"T0308";"M‚diterran‚en"
"52";"T0308";"France"
"53";"T0308";"Ch‚naie verte"
"54";"T0308";"G. Roux"
"55";"T0309";"309"
"56";"T0309";"MOUTTE P."
"57";"T0309";"1971"
"58";"T0309";"La v‚g‚tation du massif cristallin des Maurettes (Var). - Annales S.S.N.A.T.V: 86-106."
"59";"T0309";"Quercion suberis"
"60";"T0309";"X"
"61";"T0309";"94"
"62";"T0309";"2"
"63";"T0309";"1-2"
"64";"T0309";"M‚diterran‚en"
"65";"T0309";"France"
"66";"T0309";"Ch‚naie liŠge"
