"";"strsplit(filename, ""\\."")[[1]][1]";"header"
"1";"T4308";"4308"
"2";"T4308";"BRAUN-BLANQUET J."
"3";"T4308";"1948"
"4";"T4308";"La v‚g‚tation alpine des Pyr‚n‚es Orientales.- Monog. Estac. Estudios Pirenaicos, Barcelona: 306 p."
"5";"T4308";"Primulion intricatae prov."
"6";"T4308";"Gpmt. … Adonis pyrenaica & Primula intricata"
"7";"T4308";"182 1"
"8";"T4308";"G.Roux 1994"
"9";"T4309";"4309"
"10";"T4309";"BRAUN-BLANQUET J."
"11";"T4309";"1948"
"12";"T4309";"La v‚g‚tation alpine des Pyr‚n‚es Orientales.- Monog. Estac. Estudios Pirenaicos, Barcelona: 306 p."
"13";"T4309";"Festucion eskiae"
"14";"T4309";"Festucetum eskiae"
"15";"T4309";"XXI 1-15"
"16";"T4309";"G.Roux 1994"
"17";"T4310";"4310"
"18";"T4310";"BRAUN-BLANQUET J."
"19";"T4310";"1948"
"20";"T4310";"La v‚g‚tation alpine des Pyr‚n‚es Orientales.- Monog. Estac. Estudios Pirenaicos, Barcelona: 306 p."
"21";"T4310";"Festucion eskiae"
"22";"T4310";"Hieracieto-Festucetum spadiceae"
"23";"T4310";"XXII 1-13"
"24";"T4310";"G.Roux 1994"
"25";"T4311";"4311"
"26";"T4311";"BRAUN-BLANQUET J."
"27";"T4311";"1948"
"28";"T4311";"La v‚g‚tation alpine des Pyr‚n‚es Orientales.- Monog. Estac. Estudios Pirenaicos, Barcelona: 306 p."
"29";"T4311";"Festucion supinae"
"30";"T4311";"Pumileto-Festucetum supinae"
"31";"T4311";"XXIII 1-20 (21 relev‚s)"
"32";"T4311";"G.Roux 1994"
"33";"T4312";"4312"
"34";"T4312";"BRAUN-BLANQUET J."
"35";"T4312";"1948"
"36";"T4312";"La v‚g‚tation alpine des Pyr‚n‚es Orientales.- Monog. Estac. Estudios Pirenaicos, Barcelona: 306 p."
"37";"T4312";"Festucion supinae"
"38";"T4312";"Pumileto-Festucetum supinae"
