"";"strsplit(filename, ""\\."")[[1]][1]";"header"
"1";"T4000";"4000"
"2";"T4000";"X"
"3";"T4000";"LE HOUEROU H.N."
"4";"T4000";"1962"
"5";"T4000";"RECHERCHES ECOLOGIQUES ET FLORISTIQUES SUR LA VEGETATION DE LA TUNISIE MERIDIONALE. LES MILIEUX NATURELS,LA VEGETATION . - Trav. Inst. Rech. Sahariennes. Mem. hors serie nø6.Alger 1962."
"6";"T4000";"X"
"7";"T4000";"Ass. … Nitraria retusa et Ziziphus lotus"
"8";"T4000";"XVIII"
"9";"T4000";"7"
"10";"T4000";"X"
"11";"T4000";"7 M‚diterran‚en"
"12";"T4000";"X Tunisie"
"13";"T4000";"48 Groupements halophiles"
"14";"T4000";"Bouabdallah"
"15";"T4001";"4001"
"16";"T4001";"X"
"17";"T4001";"LE HOUEROU H.N."
"18";"T4001";"1962"
"19";"T4001";"RECHERCHES ECOLOGIQUES ET FLORISTIQUES SUR LA VEGETATION DE LA TUNISIE MERIDIONALE. LES MILIEUX NATURELS,LA VEGETATION . - Trav. Inst. Rech. Sahariennes. Mem. hors serie nø6.Alger 1962."
"20";"T4001";"X"
"21";"T4001";"Ass. … Nitraria retusa,Suaeda mollis et Salsola sieberi var.vesceritensis."
"22";"T4001";"XIX"
"23";"T4001";"10"
"24";"T4001";"X"
"25";"T4001";"7 M‚diterran‚en"
"26";"T4001";"X Tunisie"
"27";"T4001";"48 Groupements halophiles"
"28";"T4001";"Bouabdallah"
"29";"T4002";"4002"
"30";"T4002";"X"
"31";"T4002";"LE HOUEROU H.N."
"32";"T4002";"1962"
"33";"T4002";"RECHERCHES ECOLOGIQUES ET FLORISTIQUES SUR LA VEGETATION DE LA TUNISIE MERIDIONALE. LES MILIEUX NATURELS,LA VEGETATION . - Trav. Inst. Rech. Sahariennes. Mem. hors serie nø6.Alger 1962."
"34";"T4002";"X"
"35";"T4002";"Ass. … Anabasis aphylla ssp.africana et Suaeda mollis."
"36";"T4002";"XXI"
"37";"T4002";"7"
"38";"T4002";"X"
"39";"T4002";"7 M‚diterran‚en"
"40";"T4002";"X Tunisie"
"41";"T4002";"48 Groupements halophiles"
"42";"T4002";"Bouabdallah"
"43";"T4003";"4003"
"44";"T4003";"X"
"45";"T4003";"LE HOUEROU H.N."
"46";"T4003";"1962"
"47";"T4003";"RECHERCHES ECOLOGIQUES ET FLORISTIQUES SUR LA VEGETATION DE LA TUNISIE MERIDIONALE. LES MILIEUX NATURELS,LA VEGETATION . - Trav. Inst. Rech. Sahariennes. Mem. hors serie nø6.Alger 1962."
"48";"T4003";"X"
"49";"T4003";"Ass. … Zygophyllum album et Anarrhinum brevifolium"
"50";"T4003";"XXIII"
"51";"T4003";"36"
"52";"T4003";"X"
"53";"T4003";"7 M‚diterran‚en"
"54";"T4003";"X Tunisie"
"55";"T4003";"48 Groupements halophiles"
"56";"T4003";"Bouabdallah"
"57";"T4004";"4004"
"58";"T4004";"X"
"59";"T4004";"LE HOUEROU H.N."
"60";"T4004";"1962"
"61";"T4004";"RECHERCHES ECOLOGIQUES ET FLORISTIQUES SUR LA VEGETATION DE LA TUNISIE MERIDIONALE. LES MILIEUX NATURELS,LA VEGETATION . - Trav. Inst. Rech. Sahariennes. Mem. hors serie nø6.Alger 1962."
"62";"T4004";"X"
"63";"T4004";"Ass. … Traganum nudatum et Anabasis articulata"
"64";"T4004";"XXVI"
"65";"T4004";"23"
"66";"T4004";"X"
"67";"T4004";"7 M‚diterran‚en"
"68";"T4004";"X Tunisie"
"69";"T4004";"48 Groupements halophiles"
"70";"T4004";"Bouabdallah"
"71";"T4005";"4005"
"72";"T4005";"X"
"73";"T4005";"LE HOUEROU H.N."
"74";"T4005";"1962"
