"";"strsplit(filename, ""\\."")[[1]][1]";"header"
"1";"T1000";"1000"
"2";"T1000";"611"
"3";"T1000";"OCANA GARCIA M."
"4";"T1000";"1958"
"5";"T1000";"Estudio fitosociologico de ""La Gardiole""(Languedoc).- An. Inst. Bot. Cavan. Madrid.,XVI:3-120.(SIGMA nø 140)"
"6";"T1000";"225 Quercion ilicis"
"7";"T1000";"Quercetum galloprovinciale subass pistacietosum"
"8";"T1000";"VII"
"9";"T1000";"12"
"10";"T1000";"1-12"
"11";"T1000";"7 Mediterraneen"
"12";"T1000";"16 France"
"13";"T1000";"4 Chenaie verte"
"14";"T1000";"G.Roux"
"15";"T1001";"1001"
"16";"T1001";"553"
"17";"T1001";"QUEZEL P."
"18";"T1001";"1952"
"19";"T1001";"Quelques aspects du probleme de la vegetation sur dolomite.- Rec. Trav. Lab. Bot. Geol. Zoo. Montpellier, Serie Bot,5:63-78."
"20";"T1001";"36 Armerion junceae ?"
"21";"T1001";"X"
"22";"T1001";"69"
"23";"T1001";"3"
"24";"T1001";"1-3"
"25";"T1001";"7 Mediterraneen"
"26";"T1001";"16 France"
"27";"T1001";"33 Pelouse sableuse"
"28";"T1001";"G.Roux"
"29";"T1002";"1002"
"30";"T1002";"553"
"31";"T1002";"QUEZEL P."
"32";"T1002";"1952"
"33";"T1002";"Quelques aspects du probleme de la vegetation sur dolomite.- Rec. Trav. Lab. Bot. Geol. Zoo. Montpellier, Serie Bot,5:63-78."
"34";"T1002";"36 Armerion junceae ?"
"35";"T1002";"X"
"36";"T1002";"I"
"37";"T1002";"7"
"38";"T1002";"1-7"
"39";"T1002";"7 Mediterraneen"
"40";"T1002";"16 France"
"41";"T1002";"33 Pelouse sableuse"
"42";"T1002";"G.Roux"
"43";"T1003";"1003"
"44";"T1003";"553"
"45";"T1003";"QUEZEL P."
"46";"T1003";"1952"
"47";"T1003";"Quelques aspects du probleme de la vegetation sur dolomite.- Rec. Trav. Lab. Bot. Geol. Zoo. Montpellier, Serie Bot,5:63-78."
"48";"T1003";"234 Rosmarino-Ericion"
"49";"T1003";"X"
"50";"T1003";"II"
"51";"T1003";"7"
"52";"T1003";"8-14"
"53";"T1003";"7 Mediterraneen"
"54";"T1003";"16 France"
"55";"T1003";"27 Garrigue"
"56";"T1003";"G.Roux"
"57";"T1004";"1004"
"58";"T1004";"553"
"59";"T1004";"QUEZEL P."
"60";"T1004";"1952"
"61";"T1004";"Quelques aspects du probleme de la vegetation sur dolomite.- Rec. Trav. Lab. Bot. Geol. Zoo. Montpellier, Serie Bot,5:63-78."
"62";"T1004";"190 Ononidion striatae"
"63";"T1004";"X"
"64";"T1004";"III"
"65";"T1004";"10"
"66";"T1004";"15-24"
"67";"T1004";"7 Mediterraneen"
"68";"T1004";"16 France"
"69";"T1004";"27 Garrigue"
"70";"T1004";"G.Roux"
"71";"T1005";"1005"
"72";"T1005";"133"
"73";"T1005";"RIVAS GODAY S."
"74";"T1005";"1964"
"75";"T1005";"Vegetacion y florula de la Cuenca extremena del Guadiana.-Public. Excma. Diputacion Prov. Badajoz: 1-777."
"76";"T1005";"81 Cistion ladaniferi"
"77";"T1005";"Genisto hirsutae-Cistetum ladaniferi subass. ericetosum australe"
"78";"T1005";"LXI"
"79";"T1005";"8"
"80";"T1005";"1-8"
"81";"T1005";"7 Mediterraneen"
"82";"T1005";"14 Espagne"
"83";"T1005";"26 Maquis"
"84";"T1005";"G.Roux"
"85";"T1006";"1006"
"86";"T1006";"133"
"87";"T1006";"RIVAS GODAY S."
"88";"T1006";"1964"
"89";"T1006";"Vegetacion y florula de la Cuenca extremena del Guadiana.-Public. Excma. Diputacion Prov. Badajoz: 1-777."
"90";"T1006";"81 Cistion ladaniferi"
"91";"T1006";"Genisto hirsutae-Cistetum ladaniferi subass. phillyreetosum angustifoliae"
"92";"T1006";"LXII"
"93";"T1006";"5"
"94";"T1006";"1-5"
"95";"T1006";"7 Mediterraneen"
"96";"T1006";"14 Espagne"
"97";"T1006";"26 Maquis"
"98";"T1006";"G.Roux"
"99";"T1007";"1007"
"100";"T1007";"133"
"101";"T1007";"RIVAS GODAY S."
"102";"T1007";"1964"
"103";"T1007";"Vegetacion y florula de la Cuenca extremena del Guadiana.-Public. Excma. Diputacion Prov. Badajoz: 1-777."
"104";"T1007";"81 Cistion ladaniferi"
"105";"T1007";"Genisto hirsutae-Cistetum ladaniferi subass. a Phillyrea angustifolia et Teucrium haenseleri"
"106";"T1007";"LXIII"
"107";"T1007";"4"
"108";"T1007";"1-4"
"109";"T1007";"7 Mediterraneen"
"110";"T1007";"14 Espagne"
"111";"T1007";"26 Maquis"
"112";"T1007";"G.Roux"
"113";"T1008";"1008"
"114";"T1008";"133"
"115";"T1008";"RIVAS GODAY S."
"116";"T1008";"1964"
"117";"T1008";"Vegetacion y florula de la Cuenca extremena del Guadiana.-Public. Excma. Diputacion Prov. Badajoz: 1-777."
"118";"T1008";"81 Cistion ladaniferi"
"119";"T1008";"Genisto hirsutae-Cistetum ladaniferi subass. cistetosum monspeliense"
"120";"T1008";"LXIV"
"121";"T1008";"6"
"122";"T1008";"1-6"
"123";"T1008";"7 Mediterraneen"
"124";"T1008";"14 Espagne"
"125";"T1008";"26 Maquis"
"126";"T1008";"G.Roux"
"127";"T1009";"1009"
"128";"T1009";"133"
"129";"T1009";"RIVAS GODAY S."
"130";"T1009";"1964"
"131";"T1009";"Vegetacion y florula de la Cuenca extremena del Guadiana.-Public. Excma. Diputacion Prov. Badajoz: 1-777."
"132";"T1009";"81 Cistion ladaniferi"
"133";"T1009";"Genisto hirsutae-Cistetum ladaniferi subass. ericetosum scopariae"
"134";"T1009";"LXV"
"135";"T1009";"1"
"136";"T1009";"1"
"137";"T1009";"7 Mediterraneen"
"138";"T1009";"14 Espagne"
"139";"T1009";"26 Maquis"
"140";"T1009";"G.Roux"
"141";"T1010";"1010"
"142";"T1010";"133"
"143";"T1010";"RIVAS GODAY S."
"144";"T1010";"1964"
"145";"T1010";"Vegetacion y florula de la Cuenca extremena del Guadiana.-Public. Excma. Diputacion Prov. Badajoz: 1-777."
"146";"T1010";"81 Cistion ladaniferi"
"147";"T1010";"Assoc. a Halimium umbellatum et Lavandula pedunculata subass oligophyte"
"148";"T1010";"LXVI"
"149";"T1010";"4"
"150";"T1010";"1-4"
