"";"strsplit(filename, ""\\."")[[1]][1]";"header"
"1";"T1506";"1506"
"2";"T1506";"LAPRAZ G"
"3";"T1506";"1940"
"4";"T1506";"DES"
"5";"T1506";"Genistion lobelii"
"6";"T1506";"51(1) 1"
"7";"T1506";"G.Roux"
"8";"T1506";""
"9";"T1507";"1507"
"10";"T1507";"LAPRAZ G"
"11";"T1507";"1940"
"12";"T1507";"DES"
"13";"T1507";"Genistion lobelii"
"14";"T1507";"51(2) 1"
"15";"T1507";"G.Roux"
"16";"T1507";""
"17";"T1508";"1508"
"18";"T1508";"LAPRAZ G"
"19";"T1508";"1940"
"20";"T1508";"DES"
"21";"T1508";"Genistion lobelii"
"22";"T1508";"52 1"
"23";"T1508";"G.Roux"
"24";"T1508";""
"25";"T1509";"1509"
"26";"T1509";"LAPRAZ G"
"27";"T1509";"1940"
"28";"T1509";"DES"
"29";"T1509";"Potentillon caulescentis"
"30";"T1509";"55 1-4"
"31";"T1509";"G.Roux"
"32";"T1510";"1510"
"33";"T1510";"LAPRAZ G"
"34";"T1510";"1940"
"35";"T1510";"DES"
"36";"T1510";"Eboulis … Gouffeia arenarioides"
"37";"T1510";"62 1-8"
"38";"T1510";"G.Roux"
"39";"T1511";"1511"
"40";"T1511";"SAINT-ALARY F."
"41";"T1511";"1983"
"42";"T1511";"Etude phyto-‚cologique du domaine de la Claye (Forˆt domaniale de Rambouillet)"
"43";"T1511";"DEA"
"44";"T1511";"Alno-Padion"
"45";"T1511";"I 1"
"46";"T1511";"G.Roux"
"47";"T1512";"1512"
"48";"T1512";"SAINT-ALARY F."
"49";"T1512";"1983"
"50";"T1512";"Etude phyto-‚cologique du domaine de la Claye (Forˆt domaniale de Rambouillet)"
"51";"T1512";"DEA"
"52";"T1512";"Magnocaricion"
"53";"T1512";"II 2-22"
"54";"T1512";"G.Roux"
"55";"T1513";"1513"
"56";"T1513";"SAINT-ALARY F."
"57";"T1513";"1983"
"58";"T1513";"Etude phyto-‚cologique du domaine de la Claye (Forˆt domaniale de Rambouillet)"
"59";"T1513";"DEA"
"60";"T1513";"Magnocaricion"
"61";"T1513";"20 1-3"
"62";"T1513";"G.Roux"
"63";"T1514";"1514"
"64";"T1514";"MOSSA L. & BIONDI E."
