"";"strsplit(filename, ""\\."")[[1]][1]";"header"
"1";"T3426";"3426"
"2";"T3426";"DJEBAILI S."
"3";"T3426";"1984"
"4";"T3426";"Steppe algérienne.Phytosociologie et écologie. - Office des publications universitaires, Alger: 177p."
"5";"T3426";"Gpmts à Stipa tenacissima "
"6";"T3426";"III 1-50"
"7";"T3426";"7 M‚diterran‚en"
"8";"T3426";"13 Alg‚rie"
"9";"T3426";"G.Roux 1997"
"10";"T3427";"3427"
"11";"T3427";"DJEBAILI S."
"12";"T3427";"1984"
"13";"T3427";"Steppe algérienne.Phytosociologie et écologie. - Office des publications universitaires, Alger: 177p."
"14";"T3427";"Gpmt à Juniperus phoenicea"
"15";"T3427";"Ass. à Coronilla juncea pomelii et Centaurea incana amourensis"
"16";"T3427";"II 1-34"
"17";"T3427";"7 M‚diterran‚en"
"18";"T3427";"13 Alg‚rie"
"19";"T3427";"G.Roux 1997"
"20";"T3428";"3428"
"21";"T3428";"DJEBAILI S."
"22";"T3428";"1984"
"23";"T3428";"Steppe algérienne.Phytosociologie et écologie. - Office des publications universitaires, Alger: 177p."
"24";"T3428";"Gpmt à Lygeum spartum"
"25";"T3428";"Ass. à Noaea mucronata et Lygeum spartum"
"26";"T3428";"IV 1-41"
"27";"T3428";"7 M‚diterran‚en"
"28";"T3428";"13 Alg‚rie"
"29";"T3428";"G.Roux 1997"
"30";"T3429";"3429"
"31";"T3429";"DJEBAILI S."
"32";"T3429";"1984"
"33";"T3429";"Steppe algérienne.Phytosociologie et écologie. - Office des publications universitaires, Alger: 177p."
"34";"T3429";"Gpmt à Lygeum spartum"
"35";"T3429";"Ass. à Cutandia divaricata et Lygeum spartum"
"36";"T3429";"IV 42-56"
"37";"T3429";"7 M‚diterran‚en"
"38";"T3429";"13 Alg‚rie"
"39";"T3429";"G.Roux 1997"
"40";"T3430";"3430"
"41";"T3430";"DJEBAILI S."
"42";"T3430";"1984"
"43";"T3430";"Steppe algérienne.Phytosociologie et écologie. - Office des publications universitaires, Alger: 177p."
"44";"T3430";"Gpmt des psammophiles"
"45";"T3430";"Ass. à Thymelaea microphylla et Aristida pungens ssass. à Cutandia dichotoma"
"46";"T3430";"VII 1-14"
"47";"T3430";"M‚diterran‚en"
"48";"T3430";"13 Alg‚rie"
"49";"T3430";"G.Roux 1997"
"50";"T3431";"3430"
"51";"T3431";"DJEBAILI S."
"52";"T3431";"1984"
"53";"T3431";"Steppe algérienne.Phytosociologie et écologie. - Office des publications universitaires, Alger: 177p."
"54";"T3431";"Gpmt des psammophiles"
"55";"T3431";"Ass. à Thymelaea microphylla et Aristida pungens ss ass. à Arthrophytum schmittianum"
"56";"T3431";"VII 15-24"
"57";"T3431";"M‚diterran‚en"
"58";"T3431";"13 Alg‚rie"
"59";"T3431";"G.Roux 1997"
"60";"T3432";"3432"
"61";"T3432";"GONTARD"
"62";"T3432";"1955"
"63";"T3432";"Ononidion striatae"
"64";"T3432";"Teucrio-Coronilletum minimae"
"65";"T3432";"6 relev‚s"
"66";"T3433";"3433"
"67";"T3433";" 14 relev‚s"
"68";"T3433";"107 esp‚ces"
"69";"T3434";"3434"
"70";"T3434";" 28 relev‚s"
"71";"T3434";"114 esp‚ces"
"72";"T3435";"3435"
"73";"T3435";"  8 relev‚s"
"74";"T3435";" 54 esp‚ces"
"75";"T3436";"3436"
"76";"T3436";"  9 relev‚s"
"77";"T3436";" 61 esp‚ces"
"78";"T3437";"3437"
"79";"T3437";"  9 relev‚s"
"80";"T3437";" 72 esp‚ces"
"81";"T3438";"3438"
"82";"T3438";" 22 relev‚s"
"83";"T3438";" 84 esp‚ces"
"84";"T3439";"3439"
"85";"T3439";" 17 relev‚s"
"86";"T3439";" 75 esp‚ces"
"87";"T3440";"3440"
"88";"T3440";" 14 relev‚s"
"89";"T3440";" 79 esp‚ces"
"90";"T3441";"3441"
"91";"T3441";"  7 relev‚s"
"92";"T3441";" 73 esp‚ces"
"93";"T3442";"3442"
"94";"T3442";"WEBER"
"95";"T3442";"1957"
"96";"T3442";"Xerobrometum genevense"
"97";"T3442";"I 1-11"
"98";"T3443";"3443"
"99";"T3443";"BARBERO M., LOISEL R. & QUEZEL P."
"100";"T3443";"1972"
"101";"T3443";"Etude phytosociologique des pelouses … Anthyllis montana, Ononis striata, Sesleria coerulea en France m‚ridionale.- B.S.B.F., 119: 141-168. "
"102";"T3443";"Ononidion striatae"
"103";"T3443";"Ass. … Arenaria hispida & Minuartia laricifolia"
"104";"T3443";"I liste synth‚tique 10, 8 relev‚s non publi‚s"
"105";"T3444";"3444"
"106";"T3444";"BARBERO M., LOISEL R. & QUEZEL P."
"107";"T3444";"1972"
"108";"T3444";"Etude phytosociologique des pelouses … Anthyllis montana, Ononis striata, Sesleria coerulea en France m‚ridionale.- B.S.B.F., 119: 141-168. "
"109";"T3444";"Ononidion striatae"
"110";"T3444";"Ass. … Genista villarsii & Arenaria modesta"
"111";"T3444";"I liste synth‚tique 13, 7 relev‚s non publi‚s"
"112";"T3445";"3445"
"113";"T3445";"BARBERO M., LOISEL R. & QUEZEL P."
"114";"T3445";"1972"
"115";"T3445";"Etude phytosociologique des pelouses … Anthyllis montana, Ononis striata, Sesleria coerulea en France m‚ridionale.- B.S.B.F., 119: 141-168."
"116";"T3445";"Ononidion striatae"
"117";"T3445";"Astero-Anthyllidetum montanae"
"118";"T3445";"I liste synth‚tique 11, 16 relev‚s non publi‚s"
"119";"T3446";"3446"
"120";"T3446";"BARBERO M., LOISEL R. & QUEZEL P."
"121";"T3446";"1972"
"122";"T3446";"Etude phytosociologique des pelouses … Anthyllis montana, Ononis striata, Sesleria coerulea en France m‚ridionale.- B.S.B.F., 119: 141-168."
"123";"T3446";"Ononidion striatae"
"124";"T3446";"Stipo-Ononidetum striatae scorzoneretosum"
"125";"T3446";"I liste synth‚tique 1, 14 relev‚s non publi‚s"
"126";"T3447";"3447"
"127";"T3447";"BARBERO M., LOISEL R. & QUEZEL P."
"128";"T3447";"1972"
"129";"T3447";"Etude phytosociologique des pelouses … Anthyllis montana, Ononis striata, Sesleria coerulea en France m‚ridionale.- B.S.B.F., 119: 141-168."
"130";"T3447";"Seslerion elegantissimae"
"131";"T3447";"Seslerio-Phyteumetum"
"132";"T3447";"V liste synth‚tique 5, 11 relev‚s non publi‚s"
"133";"T3448";"3448"
"134";"T3448";"  6 relev‚s"
"135";"T3448";" 65 esp‚ces"
"136";"T3449";"3449"
"137";"T3449";"  7 relev‚s"
"138";"T3449";" 85 esp‚ces"
"139";"T3450";"3450"
"140";"T3450";" 12 relev‚s"
"141";"T3450";"123 esp‚ces"
"142";"T3451";"3451"
"143";"T3451";" 25 relev‚s"
"144";"T3451";" 54 esp‚ces"
"145";"T3452";"3452"
"146";"T3452";" 15 relev‚s"
"147";"T3452";" 50 esp‚ces"
"148";"T3453";"3453"
"149";"T3453";" 28 relev‚s"
"150";"T3453";" 78 esp‚ces"
"151";"T3454";"3454"
"152";"T3454";"  5 relev‚s"
"153";"T3454";" 76 esp‚ces"
"154";"T3455";"3455"
"155";"T3455";"  5 relev‚s"
"156";"T3455";" 96 esp‚ces"
"157";"T3456";"3456"
"158";"T3456";"  6 relev‚s"
"159";"T3456";"101 esp‚ces"
"160";"T3457";"3457"
"161";"T3457";"  5 relev‚s"
"162";"T3457";" 76 esp‚ces"
"163";"T3458";"3458"
"164";"T3458";"  8 relev‚s"
"165";"T3458";" 46 esp‚ces"
"166";"T3459";"3459"
"167";"T3459";"BARBERO M., LOISEL R. & QUEZEL P."
"168";"T3459";"1972"
"169";"T3459";"Etude phytosociologique des pelouses … Anthyllis montana, Ononis striata, Sesleria coerulea en France m‚ridionale.- B.S.B.F., 119: 141-168. "
"170";"T3459";"Potentillion velutinae"
"171";"T3459";"Ass. … Genista villarsii & Minuartia villarsii"
"172";"T3459";"II liste synth‚tique 1, 9 relev‚s non publi‚s"
"173";"T3460";"3460"
"174";"T3460";"BARBERO M., LOISEL R. & QUEZEL P."
"175";"T3460";"1972"
"176";"T3460";"Etude phytosociologique des pelouses … Anthyllis montana, Ononis striata, Sesleria coerulea en France m‚ridionale.- B.S.B.F., 119: 141-168. "
"177";"T3460";"Potentillion velutinae"
"178";"T3460";"Scorzonero-Ranunculetum graminei"
"179";"T3460";"II liste synth‚tique 2, 7 relev‚s non publi‚s"
"180";"T3461";"3461"
"181";"T3461";"BARBERO M., LOISEL R. & QUEZEL P."
"182";"T3461";"1972"
"183";"T3461";"Etude phytosociologique des pelouses … Anthyllis montana, Ononis striata, Sesleria coerulea en France m‚ridionale.- B.S.B.F., 119: 141-168. "
"184";"T3461";"Potentillion velutinae"
"185";"T3461";"Potentillo-Ononidetum striatae"
"186";"T3461";"II liste synth‚tique 3, 8 relev‚s non publi‚s"
"187";"T3462";"3462"
"188";"T3462";"BARBERO M., LOISEL R. & QUEZEL P."
"189";"T3462";"1972"
"190";"T3462";"Etude phytosociologique des pelouses … Anthyllis montana, Ononis striata, Sesleria coerulea en France m‚ridionale.- B.S.B.F., 119: 141-168."
"191";"T3462";"Lavandulo-Genistion"
"192";"T3462";"Lavandulo-Astragaletum"
"193";"T3462";"III liste synth‚tique 2, 12 relev‚s non publi‚s"
"194";"T3463";"3463"
"195";"T3463";"BARBERO M., LOISEL R. & QUEZEL P."
"196";"T3463";"1972"
"197";"T3463";"Etude phytosociologique des pelouses … Anthyllis montana, Ononis striata, Sesleria coerulea en France m‚ridionale.- B.S.B.F., 119: 141-168."
"198";"T3463";"Lavandulo-Genistion"
"199";"T3463";"Ass. … Thalictrum foetidum & Senecio doronicum"
"200";"T3463";"III liste synth‚tique 3, 8 relev‚s non publi‚s"
"201";"T3464";"3464"
"202";"T3464";"BARBERO M., LOISEL R. & QUEZEL P."
"203";"T3464";"1972"
"204";"T3464";"Etude phytosociologique des pelouses … Anthyllis montana, Ononis striata, Sesleria coerulea en France m‚ridionale.- B.S.B.F., 119: 141-168. "
"205";"T3464";"Lavandulo-Genistion"
"206";"T3464";"Ass. … Juniperus nana & Lavandula vera"
"207";"T3464";"III liste synth‚tique 4, 6 relev‚s non publi‚s"
"208";"T3465";"3465"
"209";"T3465";"BARBERO M., LOISEL R. & QUEZEL P."
"210";"T3465";"1972"
"211";"T3465";"Etude phytosociologique des pelouses … Anthyllis montana, Ononis striata, Sesleria coerulea en France m‚ridionale.- B.S.B.F., 119: 141-168."
"212";"T3465";"Seslerion elegantissimae"
"213";"T3465";"Ass. … Daphne cneorum & Gentiana costei"
"214";"T3465";"IV liste synth‚tique 2, 7 relev‚s non publi‚s"
"215";"T3466";"3466"
"216";"T3466";"LAPRAZ G."
"217";"T3466";"1960"
"218";"T3466";"Le massif de Montserrat. Etude phytosociologique.- Rev. G‚n. Bot.:405-440."
"219";"T3466";"X"
"220";"T3466";"Erodietum supracani"
"221";"T3466";"434 8-10"
"222";"T3466";"Gaultier C. 1988"
"223";"T3467";"3467"
"224";"T3467";"MAUBERT P."
"225";"T3467";"1978"
"226";"T3467";"Contribution … l'‚tude phytosociologique des pelouses calcicoles du Bassin Parisien.- ThŠse Doct. 3Š Cycle, Univ. Paris XI: 84 p. + 73 p. annexes."
"227";"T3467";"Xerobromion"
