"";"strsplit(filename, ""\\."")[[1]][1]";"header"
"1";"T3830";"PEDROTTI F."
"2";"T3830";"Inquadramento fitosociologico delle leccete del trentino"
"3";"T3830";"Doc. Phyl. NS, XIV : 505 -512"
"4";"T3830";"1992"
"5";"T3830";"Tableau 1 : 1-9"
"6";"T3830";"Quercion Ilicis"
"7";"T3831";"PEDROTTI F."
"8";"T3831";"Inquadramento fitosociologico delle leccete del trentino"
"9";"T3831";"Doc. Phyl. NS, XIV : 505 -512"
"10";"T3831";"1992"
"11";"T3831";"Tableau 1 : 10-14"
"12";"T3831";"Quercion Ilicis"
"13";"T3832";"PEDROTTI F."
"14";"T3832";"Inquadramento fitosociologico delle leccete del trentino"
"15";"T3832";"Doc. Phyl. NS, XIV : 505 -512"
"16";"T3832";"1992"
"17";"T3832";"Tableau 1 : 15-17"
"18";"T3832";"Quercion Ilicis"
"19";"T3833";"3833"
"20";"T3833";"X"
"21";"T3833";"TADROS T.M., BERLANTA A. & ATTA M."
"22";"T3833";"1958"
"23";"T3833";"FURTHER CONTRIBUTION TO THE STUDY OF THE SOCIOLOGY AND ECOLOGY OF THE HALOPHILOUS PLANT COMMUNITIES OF MAREOTIS (EGYPT). - Vegetatio, VIII, 3: 137-160."
"24";"T3833";"X"
"25";"T3833";"Salicornieto-Suaedetum salsae"
"26";"T3833";"X"
"27";"T3833";"8"
"28";"T3833";"6-13"
"29";"T3833";"7 M‚diterran‚en"
"30";"T3833";"X Egypte"
"31";"T3833";"48 Groupements halophiles"
"32";"T3833";"Bouabdallah"
"33";"T3834";"3834"
"34";"T3834";"X"
"35";"T3834";"TADROS T.M., BERLANTA A. & ATTA M."
"36";"T3834";"1958"
"37";"T3834";"FURTHER CONTRIBUTION TO THE STUDY OF THE SOCIOLOGY AND ECOLOGY OF THE HALOPHILOUS PLANT COMMUNITIES OF MAREOTIS (EGYPT). - Vegetatio, VIII, 3: 137-160."
"38";"T3834";"X"
"39";"T3834";"Grpmt.du Juncion maritimi(Rel.nø14 a 17)"
"40";"T3834";"X"
"41";"T3834";"4"
"42";"T3834";"14-17"
"43";"T3834";"7 M‚diterran‚en"
"44";"T3834";"X Egypte"
"45";"T3834";"48 Groupements halophiles"
"46";"T3834";"Bouabdallah"
"47";"T3835";"3835"
"48";"T3835";"X"
"49";"T3835";"TADROS T.M., BERLANTA A. & ATTA M."
"50";"T3835";"1958"
"51";"T3835";"FURTHER CONTRIBUTION TO THE STUDY OF THE SOCIOLOGY AND ECOLOGY OF THE HALOPHILOUS PLANT COMMUNITIES OF MAREOTIS (EGYPT). - Vegetatio, VIII, 3: 137-160."
"52";"T3835";"X"
"53";"T3835";"Scirpetum maritimi phragmitetosum(Rel.nø18 a 20)"
"54";"T3835";"X"
"55";"T3835";"3"
"56";"T3835";"I 18-20"
"57";"T3835";"7 M‚diterran‚en"
"58";"T3835";"X Egypte"
"59";"T3835";"48 Groupements halophiles"
