"";"strsplit(filename, ""\\."")[[1]][1]";"header"
"1";"T3000";"3000"
"2";"T3000";"  8 relev‚s"
"3";"T3000";" 79 esp‚ces"
"4";"T3001";"3001"
"5";"T3001";" 11 relev‚s"
"6";"T3001";" 79 esp‚ces"
"7";"T3002";"3002"
"8";"T3002";"  5 relev‚s"
"9";"T3002";" 50 esp‚ces"
"10";"T3003";"3003"
"11";"T3003";"  8 relev‚s"
"12";"T3003";" 63 esp‚ces"
"13";"T3004";"3004"
"14";"T3004";" 10 relev‚s"
"15";"T3004";" 67 esp‚ces"
"16";"T3005";"3005"
"17";"T3005";"  8 relev‚s"
"18";"T3005";" 49 esp‚ces"
"19";"T3006";"3006"
"20";"T3006";"  6 relev‚s"
"21";"T3006";" 45 esp‚ces"
"22";"T3007";"3007"
"23";"T3007";"  8 relev‚s"
"24";"T3007";" 33 esp‚ces"
"25";"T3008";"3008"
"26";"T3008";"  3 relev‚s"
"27";"T3008";" 52 esp‚ces"
"28";"T3009";"3009"
"29";"T3009";"PASSARGE H."
"30";"T3009";"1957"
"31";"T3009";"Vegetationskundliche Untersuchungen in der Wiesenlandschaft des nordlichen Havellandes.- Feddes Repert., 137: 5-55."
"32";"T3009";"Rhamnus catharticus-Cornus sanguinea Ges."
"33";"T3009";"XXI 1-12"
"34";"T3010";"3010"
"35";"T3010";"RIVAS GODAY S. & BORJA CARBONELL J."
"36";"T3010";"1961"
"37";"T3010";"Estudio de Vegetacion y Florula, del Macizo de Gudar y Jabalambre.- Anal. Inst. Bot. Cavanilles, XIX: 3-550."
"38";"T3010";"Berberidion"
"39";"T3010";"Ononido-Berberidetum"
"40";"T3010";"VIII 1-9"
"41";"T3010";"G.Roux 1995"
"42";"T3011";"3011"
"43";"T3011";"RIVAS GODAY S. & BORJA CARBONELL J."
"44";"T3011";"1961"
"45";"T3011";"Estudio de Vegetacion y Florula, del Macizo de Gudar y Jabalambre.- Anal. Inst. Bot. Cavanilles, XIX: 3-550."
"46";"T3011";"Berberidion"
"47";"T3011";"Sabino-Berberidetum"
"48";"T3011";"VIII 10-18"
"49";"T3011";"Corr. G.Roux 1995"
"50";"T3012";"3012"
"51";"T3012";"  6 relev‚s"
"52";"T3012";" 31 esp‚ces"
"53";"T3013";"3013"
"54";"T3013";"  4 relev‚s"
"55";"T3013";" 28 esp‚ces"
"56";"T3014";"3014"
"57";"T3014";"  8 relev‚s"
"58";"T3014";" 41 esp‚ces"
"59";"T3015";"3015"
"60";"T3015";"  5 relev‚s"
"61";"T3015";" 65 esp‚ces"
"62";"T3016";"3016"
"63";"T3016";" 17 relev‚s"
"64";"T3016";" 65 esp‚ces"
"65";"T3017";"3017"
"66";"T3017";" 10 relev‚s"
"67";"T3017";" 46 esp‚ces"
"68";"T3018";"3018"
"69";"T3018";" 10 relev‚s"
"70";"T3018";" 52 esp‚ces"
"71";"T3019";"3019"
"72";"T3019";" 10 relev‚s"
"73";"T3019";" 45 esp‚ces"
"74";"T3020";"3020"
"75";"T3020";"  4 relev‚s"
"76";"T3020";" 32 esp‚ces"
"77";"T3021";"3021"
"78";"T3021";"  6 relev‚s"
"79";"T3021";" 34 esp‚ces"
"80";"T3022";"3022"
"81";"T3022";"RAMEAU J.C."
"82";"T3022";"1974"
"83";"T3022";"Sorbo-Rhamnetum frangulae"
"84";"T3022";"4 relev‚s"
"85";"T3022";"Corrections et A/D par G.Roux 1994"
"86";"T3023";"3023"
"87";"T3023";"BLONDEL R."
"88";"T3023";"1941"
"89";"T3023";"330 1-22"
"90";"T3023";"G.Roux 1995"
"91";"T3024";"3024"
"92";"T3024";"BOLOS O. DE & MOLINIER."
"93";"T3024";"Recherches phytosociologiques dans l'ile de Majorque.- Coll. Bot."
"94";"T3024";"Hypericion balearici"
"95";"T3024";"Pastinacetum lucidae"
"96";"T3024";"VIII 1-8"
"97";"T3024";"G.Roux 1996"
"98";"T3025";"3025"
"99";"T3025";"BOLOS O. "
"100";"T3025";"Aphyllanthion"
"101";"T3025";"Salvio-Aphyllanthetum"
"102";"T3025";"XXXVII 1-7"
"103";"T3025";"G.Roux 1996"
"104";"T3026";"3026"
"105";"T3026";"BOLOS O. "
"106";"T3026";"Aphyllanthion"
"107";"T3026";"Buffonio-Salvietum lavandulifoliae"
"108";"T3026";"XXXVIII 1-3"
"109";"T3026";"G.Roux 1996"
"110";"T3027";"3027"
"111";"T3027";"BRAUN-BLANQUET J. & BOLOS O. "
"112";"T3027";"Ebre"
"113";"T3027";"Rosmarino-Ericion"
"114";"T3027";"Cytiso-Cistetum libanotis subass cytisetosum"
"115";"T3027";"XXXV 1-19"
"116";"T3027";"G.Roux 1996"
"117";"T3028";"3028"
"118";"T3028";"BRAUN-BLANQUET J. & BOLOS O. "
"119";"T3028";"Ebre"
"120";"T3028";"Rosmarino-Ericion"
"121";"T3028";"Cytiso-Cistetum libanotis subass coronilletosum"
"122";"T3028";"XXXV 20-34"
"123";"T3028";"G.Roux 1996"
"124";"T3029";"3029"
"125";"T3029";"BRAUN-BLANQUET J. & BOLOS O. "
"126";"T3029";"Ebre"
"127";"T3029";"Rosmarino-Ericion"
"128";"T3029";"Sideritetum cavallinesii subass. lygeetosum"
"129";"T3029";"XXXI 1-5"
"130";"T3029";"G.Roux 1996"
"131";"T3030";"3030"
"132";"T3030";"BRAUN-BLANQUET J. & BOLOS O. "
"133";"T3030";"Ebre"
"134";"T3030";"Rosmarino-Ericion"
"135";"T3030";"Sideritetum cavallinesii subass. fumanetosum"
"136";"T3030";"XXXI 6-30"
"137";"T3030";"G.Roux 1996"
"138";"T3031";"3031"
"139";"T3031";"BRAUN-BLANQUET J. & BOLOS O. "
"140";"T3031";"Ebre"
"141";"T3031";"Rosmarino-Ericion"
"142";"T3031";"Sideritetum cavallinesii subass. artemisietosum"
"143";"T3031";"XXXI 31-32"
"144";"T3031";"G.Roux 1996"
"145";"T3032";"3032"
"146";"T3032";"BRAUN-BLANQUET J. & BOLOS O. "
"147";"T3032";"Ebre"
"148";"T3032";"Aphyllanthion"
