"";"strsplit(filename, ""\\."")[[1]][1]";"header"
"1";"T3224";"3224"
"2";"T3224";"BARBERO M."
"3";"T3224";"1972"
"4";"T3224";"Avenion sempervirentis"
"5";"T3224";"Helictotricho sempervirenti-parlatorei-Centaureetum triumfettii type subalpin"
"6";"T3224";"XXVI 1-24"
"7";"T3225";"3225"
"8";"T3225";"BARBERO M."
"9";"T3225";"1972"
"10";"T3225";"Avenion sempervirentis"
"11";"T3225";"Helictotrichetum sempervirentis-Arenarietum cinereae type montagnard"
"12";"T3225";"XXVII 1-19"
"13";"T3226";"3226"
"14";"T3226";" 12 relev‚s"
"15";"T3226";" 47 esp‚ces"
"16";"T3227";"3227"
"17";"T3227";" 21 relev‚s"
"18";"T3227";" 64 esp‚ces"
"19";"T3228";"3228"
"20";"T3228";"  3 relev‚s"
"21";"T3228";" 30 esp‚ces"
"22";"T3229";"3229"
"23";"T3229";"  7 relev‚s"
"24";"T3229";" 38 esp‚ces"
"25";"T3230";"3230"
"26";"T3230";" 15 relev‚s"
"27";"T3230";"104 esp‚ces"
"28";"T3231";"3231"
"29";"T3231";" 15 relev‚s"
"30";"T3231";" 84 esp‚ces"
"31";"T3232";"3232"
"32";"T3232";" 16 relev‚s"
"33";"T3232";" 56 esp‚ces"
"34";"T3233";"3233"
"35";"T3233";"LOISEL R."
"36";"T3233";"1976"
"37";"T3233";"La v‚g‚tation de l'‚tage m‚diterran‚en dans le Sud-Est continental fran‡ais.- ThŠse Doct. Etat, Univ. Aix-Marseille. "
"38";"T3233";"Genistion lobelii"
"39";"T3233";"Genistetum lobelii"
"40";"T3233";"XLI 1-10"
"41";"T3233";"Corr. G.Roux 1994"
"42";"T3234";"3234"
"43";"T3234";"  3 relev‚s"
"44";"T3234";" 36 esp‚ces"
"45";"T3235";"3235"
"46";"T3235";"  4 relev‚s"
"47";"T3235";" 31 esp‚ces"
"48";"T3236";"3236"
"49";"T3236";"BARBERO M. & LOISEL R."
"50";"T3236";"1972"
"51";"T3236";"Contribution … l'‚tude des pelouses … Brome m‚diterran‚ennes et m‚diterran‚o-montagnardes.- Anales Inst. Bot. Cavanilles, XXVIII, 1971: 91-166."
