"";"strsplit(filename, ""\\."")[[1]][1]";"header"
"1";"T2000";"2000"
"2";"T2000";"X"
"3";"T2000";"ALCARAZ C."
"4";"T2000";"1989"
"5";"T2000";"Contribution Ö l'Çtude des groupements Ö Quercus ilex et Quercus faginea subsp. tlemcenensis, des monts de Tlemcen (AlgÇrie).- Ecologia mediterranea, XV, 3/4: 1-32."
"6";"T2000";"Oleo-Ceratonion"
"7";"T2000";"X"
"8";"T2000";"39"
"9";"T2000";"I"
"10";"T2000";"1-39"
"11";"T2000";"Chänaie verte"
"12";"T2000";"MÇditerranÇen"
"13";"T2000";"AlgÇrie"
"14";"T2000";"Mts de Tlemcen"
"15";"T2000";"G.Roux"
"16";"T2001";"2001"
"17";"T2001";"BARBERO M. & CHARPIN A."
"18";"T2001";"1970"
"19";"T2001";"Caricetum firmae subass ‡ Carex mucronata"
"20";"T2001";"13 relevÇs"
"21";"T2001";"Corr. & A/D G.Roux 1995"
"22";"T2002";"2002"
"23";"T2002";"BARBERO M. & LOISEL R."
"24";"T2002";"1965"
"25";"T2002";"Alysseto-Brassicetum robertianae"
"26";"T2002";" 17 relevÇs"
"27";"T2002";"Corr. & A/D G.Roux 1995"
"28";"T2003";"2003"
"29";"T2003";" 16 relevÇs"
"30";"T2003";"109 espÇces"
"31";"T2004";"2004"
"32";"T2004";" 32 relevÇs"
"33";"T2004";" 95 espÇces"
"34";"T2005";"2005"
"35";"T2005";" 22 relevÇs"
"36";"T2005";" 89 espÇces"
"37";"T2006";"2006"
"38";"T2006";"SOROCEANU E."
"39";"T2006";"1936"
"40";"T2006";"Recherches phytosociologiques sur les pelouses meso-xerophiles de la plaine languedocienne (Brachypodietum phoenicoidis).- S.I.G.M.A., 41"
"41";"T2006";"Brachypodion phoenicoidis"
"42";"T2006";"Brachypodietum phoenicoidis type"
"43";"T2006";"I 1-28"
"44";"T2006";"G.Roux 1994"
"45";"T2007";"2007"
"46";"T2007";"HUBL E. & al."
"47";"T2007";"1958"
"48";"T2007";"Das Rosmarineto-Lithospermetum helianthemetosum du Bas-Languedoc (Sudfrankreich).- S.I.G.M.A., 144"
"49";"T2007";"115 1-3"
"50";"T2007";"A/D G.Roux 1994"
"51";"T2008";"2008"
"52";"T2008";"HUBL E. & al."
"53";"T2008";"1958"
"54";"T2008";"Das Rosmarineto-Lithospermetum helianthemetosum du Bas-Languedoc (Sudfrankreich).- S.I.G.M.A. 144"
"55";"T2008";"Rosmarino-Lithospermetum"
"56";"T2008";"116 1-2"
"57";"T2008";"A/D G.Roux 1994"
"58";"T2009";"2009"
"59";"T2009";"HUBL E. & al."
"60";"T2009";"Das Rosmarineto-Lithospermetum helianthemetosum du Bas-Languedoc (Sud Frankreich).- S.I.G.M.A. 144"
"61";"T2009";"Rosmarino-Lithospermetum"
"62";"T2009";"123 1-2 "
"63";"T2009";"A/D G.Roux 1994"
"64";"T2010";"2010"
"65";"T2010";"  8 relevÇs"
"66";"T2010";" 45 espÇces"
"67";"T2011";"2011"
"68";"T2011";"  1 relevÇs"
"69";"T2011";"  9 espÇces"
"70";"T2012";"2012"
"71";"T2012";"  1 relevÇs"
"72";"T2012";" 14 espÇces"
"73";"T2013";"2013"
"74";"T2013";"  1 relevÇs"
"75";"T2013";" 14 espÇces"
"76";"T2014";"2014"
"77";"T2014";"  1 relevÇs"
"78";"T2014";" 13 espÇces"
"79";"T2015";"2015"
"80";"T2015";"GEHU & PLANCHAIS"
"81";"T2015";"  1 relevÇs"
"82";"T2015";" 11 espÇces"
"83";"T2016";"2016"
"84";"T2016";"  1 relevÇs"
"85";"T2016";"  6 espÇces"
"86";"T2017";"2017"
"87";"T2017";"BEGUIN C."
"88";"T2017";"1970"
"89";"T2017";"Petasition paradoxi"
"90";"T2017";"Ligustico-Leontodontetum"
"91";"T2017";"20 relevÇs"
"92";"T2017";"A/D par G.Roux 1994"
"93";"T2018";"2018"
"94";"T2018";"BEGUIN C."
"95";"T2018";"1970"
"96";"T2018";"Scrophularion juratensis"
"97";"T2018";"Galeopsietum angustifoliae "
"98";"T2018";"IV 22-37"
"99";"T2018";"16 relevÇs"
"100";"T2018";"A/D par G.Roux 1994"
"101";"T2019";"2019"
"102";"T2019";"BEGUIN C."
"103";"T2019";"1970"
"104";"T2019";"Arabidion alpinae"
"105";"T2019";"Dryopteridetum robertianae"
"106";"T2019";"IV 56-67"
"107";"T2019";"12 relevÇs"
"108";"T2019";"A/D par G.Roux 1994"
"109";"T2020";"2020"
"110";"T2020";"BEGUIN C."
"111";"T2020";"1970"
"112";"T2020";"Chenopodietum subalpinum"
"113";"T2020";"II 1-12"
"114";"T2020";"12 relevÇs"
"115";"T2020";"A/D par G.Roux 1994"
"116";"T2021";"2021"
"117";"T2021";"BEGUIN C."
"118";"T2021";"1970"
"119";"T2021";"Agropyro-Rumicion"
"120";"T2021";"Carici flaccae-Agrostietum"
"121";"T2021";"III 1-28"
"122";"T2021";"28 relevÇs"
"123";"T2021";"A/D par G.Roux 1994"
"124";"T2022";"2022"
"125";"T2022";"BEGUIN C."
"126";"T2022";"1970"
"127";"T2022";"Arabidion coeruleae"
"128";"T2022";"Veronico-Hutchinsietum"
"129";"T2022";"V 1-6"
"130";"T2022";"6 relevÇs"
"131";"T2022";"A/D par G.Roux 1994"
"132";"T2023";"2023"
"133";"T2023";"BEGUIN C."
"134";"T2023";"1970"
"135";"T2023";"Caricion ferrugineae"
"136";"T2023";"Pulsatillo-Anemonetum"
"137";"T2023";"VII 1-16"
"138";"T2023";"16 relevÇs"
"139";"T2023";"A/D et corrections par G.Roux 1994"
"140";"T2024";"2024"
"141";"T2024";"GUINOCHET M."
"142";"T2024";"1938"
"143";"T2024";"Etude sur la vÇgÇtation de l'Çtage alpin dans le bassin supÇrieur de la TinÇe"
"144";"T2024";"Nardion"
"145";"T2024";"Alopecuro-Ranunculetum pyrenaici"
"146";"T2024";"LXI 1-10"
"147";"T2024";"10 relevÇs"
"148";"T2024";"A/D par G.Roux 1994"
"149";"T2025";"2025"
"150";"T2025";" 11 relevÇs"
"151";"T2025";" 71 espÇces"
"152";"T2025";" G.Roux"
"153";"T2026";"2026"
