"";"strsplit(filename, ""\\."")[[1]][1]";"header"
"1";"T2833";"2833"
"2";"T2833";"  9 relev‚s"
"3";"T2833";" 47 esp‚ces"
"4";"T2834";"2834"
"5";"T2834";" 22 relev‚s"
"6";"T2834";" 68 esp‚ces"
"7";"T2835";"2835"
"8";"T2835";" 23 relev‚s"
"9";"T2835";" 84 esp‚ces"
"10";"T2836";"2836"
"11";"T2836";" 25 relev‚s"
"12";"T2836";" 86 esp‚ces"
"13";"T2837";"2837"
"14";"T2837";"  7 relev‚s"
"15";"T2837";" 45 esp‚ces"
"16";"T2838";"2838"
"17";"T2838";" 17 relev‚s"
"18";"T2838";" 43 esp‚ces"
"19";"T2839";"2839"
"20";"T2839";" 40 relev‚s"
"21";"T2839";" 82 esp‚ces"
"22";"T2840";"2840"
"23";"T2840";" 25 relev‚s"
"24";"T2840";" 67 esp‚ces"
"25";"T2841";"2841"
"26";"T2841";"  6 relev‚s"
"27";"T2841";" 48 esp‚ces"
"28";"T2842";"2842"
"29";"T2842";"  3 relev‚s"
"30";"T2842";" 40 esp‚ces"
"31";"T2843";"2843"
"32";"T2843";"  8 relev‚s"
"33";"T2843";" 61 esp‚ces"
"34";"T2844";"2844"
"35";"T2844";" 19 relev‚s"
"36";"T2844";" 51 esp‚ces"
"37";"T2845";"2845"
"38";"T2845";"  6 relev‚s"
"39";"T2845";" 54 esp‚ces"
"40";"T2846";"2846"
"41";"T2846";" 19 relev‚s"
"42";"T2846";" 80 esp‚ces"
"43";"T2847";"2847"
"44";"T2847";" 40 relev‚s"
"45";"T2847";"104 esp‚ces"
"46";"T2848";"2848"
"47";"T2848";" 16 relev‚s"
"48";"T2848";" 93 esp‚ces"
"49";"T2849";"2849"
"50";"T2849";" 30 relev‚s"
"51";"T2849";" 40 esp‚ces"
"52";"T2850";"2850"
"53";"T2850";" 10 relev‚s"
"54";"T2850";" 17 esp‚ces"
"55";"T2851";"2851"
"56";"T2851";" 21 relev‚s"
"57";"T2851";" 69 esp‚ces"
"58";"T2852";"2852"
"59";"T2852";"  4 relev‚s"
