"";"strsplit(filename, ""\\."")[[1]][1]";"header"
"1";"T2623";"2623"
"2";"T2623";" 36 relev‚s"
"3";"T2623";" 64 esp‚ces"
"4";"T2624";"2624"
"5";"T2624";"  8 relev‚s"
"6";"T2624";" 34 esp‚ces"
"7";"T2625";"2625"
"8";"T2625";" 19 relev‚s"
"9";"T2625";" 60 esp‚ces"
"10";"T2626";"2626"
"11";"T2626";"  6 relev‚s"
"12";"T2626";" 65 esp‚ces"
"13";"T2627";"2627"
"14";"T2627";"DUVIGNEAUD "
"15";"T2627";"Bul. Soc Roy Bot. Belg."
"16";"T2627";" 8 relev‚s"
"17";"T2627";" 73 esp‚ces"
"18";"T2627";"Juncetum acutiflori"
"19";"T2627";"III 1-8"
"20";"T2627";"Corr. & A/D G.Roux 1999 sans Bryophytes"
"21";"T2628";"2628"
"22";"T2628";"KRZACZEK W. & T. "
"23";"T2628";"Epilobio-Juncetum effusi"
"24";"T2628";"I 1-5"
"25";"T2628";"5 relev‚s"
"26";"T2628";"74 esp‚ces"
"27";"T2628";"A/D & Corr. G.Roux"
"28";"T2629";"2629"
"29";"T2629";"KRZACZEK W. & T."
"30";"T2629";"Molinion"
"31";"T2629";"Molinietum coeruleae"
"32";"T2629";"II 8-22"
"33";"T2629";"15 relev‚s"
"34";"T2629";"125 esp‚ces"
"35";"T2629";"A/D & Corr. G.Roux"
"36";"T2630";"2630"
"37";"T2630";"KRZACZEK W. & T."
"38";"T2630";"Calthion"
"39";"T2630";"Stellario-Deschampsietum"
"40";"T2630";"III 1-5"
"41";"T2630";"5 relev‚s"
"42";"T2630";"80 esp‚ces"
"43";"T2630";"A/D & Corr. G.Roux"
"44";"T2634";"2634"
"45";"T2634";" 12 relev‚s"
"46";"T2634";" 55 esp‚ces"
"47";"T2636";"2636"
"48";"T2636";"  8 relev‚s"
"49";"T2636";" 19 esp‚ces"
"50";"T2639";"2639"
"51";"T2639";" 25 relev‚s"
"52";"T2639";" 44 esp‚ces"
"53";"T2640";"2640"
"54";"T2640";" 10 relev‚s"
"55";"T2640";" 45 esp‚ces"
"56";"T2641";"2641"
"57";"T2641";" 25 relev‚s"
"58";"T2641";"102 esp‚ces"
"59";"T2642";"2642"
"60";"T2642";"  8 relev‚s"
"61";"T2642";" 48 esp‚ces"
"62";"T2643";"2643"
"63";"T2643";" 24 relev‚s"
"64";"T2643";"131 esp‚ces"
"65";"T2644";"2644"
"66";"T2644";" 29 relev‚s"
"67";"T2644";"171 esp‚ces"
"68";"T2645";"2645"
"69";"T2645";"RAMEAU J.C & ROYER"
"70";"T2645";"1979"
"71";"T2645";"Etude botanique et phytosociologique du Marais Vaucher.- Bull. Soc. Sci. Nat. Hte Marne"
"72";"T2645";"I 1-6"
"73";"T2645";"  6 relev‚s"
"74";"T2645";" 38 esp‚ces"
"75";"T2645";"G.Roux 1994 A/D & Bryophytes"
"76";"T2646";"2646"
"77";"T2646";"RAMEAU J.C. & ROYER"
"78";"T2646";"1979"
"79";"T2646";"Etude botanique et phytosociologique du Marais Vaucher.- Bull. Soc. Sci. Nat. Hte Marne"
"80";"T2646";"III 1-4"
"81";"T2646";"Molinion"
"82";"T2646";"Ranunculo polyanthemoides-Molinietum"
"83";"T2646";"4 relev‚s"
"84";"T2646";"G.Roux 1994 Corrections, A/D et Bryophytes"
"85";"T2647";"2647"
"86";"T2647";"  4 relev‚s"
"87";"T2647";" 17 esp‚ces"
"88";"T2648";"2648"
"89";"T2648";"  5 relev‚s"
"90";"T2648";"rectifi‚ et coeff. par G.Roux"
"91";"T2649";"2649"
"92";"T2649";"TUXEN R. & OBERDORFER E."
"93";"T2649";"1958"
"94";"T2649";"Die Pflanzenwelt Spaniens"
"95";"T2649";"  8 relev‚s"
"96";"T2649";" 75 esp‚ces"
"97";"T2650";"2650"
"98";"T2650";"TUXEN R. & OBERDORFER E."
"99";"T2650";"  8 relev‚s"
"100";"T2650";" 83 esp‚ces"
"101";"T2650";"Corrig‚ G.Roux"
