"";"strsplit(filename, ""\\."")[[1]][1]";"header"
"1";"T0204";"0204"
"2";"T0204";" 10 relev‚s"
"3";"T0204";" 82 esp‚ces"
"4";"T0205";"0205"
"5";"T0205";"  4 relev‚s"
"6";"T0205";" 60 esp‚ces"
"7";"T0206";"0206"
"8";"T0206";"GEHU J.M."
"9";"T0206";"1959"
"10";"T0206";"Les pelouses calcaires de la ""Cuesta"" boulonnaise.- Bull. Soc. Etudes Sci. Angers, N.S., 89: 205-221."
"11";"T0206";"Mesobromion"
"12";"T0206";"Ass. … Brachypodium pinnatum & Orchis fuchsii"
"13";"T0206";"216 1-14"
"14";"T0206";"14 relev‚s"
"15";"T0206";"Corr. & A/D G. Roux 1995"
"16";"T0207";"0207"
"17";"T0207";"GEHU J.M."
"18";"T0207";"1961"
"19";"T0207";"Les groupements v‚g‚taux de la Sambre fran‡aise.- Vegetatio, X"
"20";"T0207";"Ass. … Potentilla argentea et Potentilla verna"
"21";"T0207";"XXIV 1-7"
"22";"T0207";"7 relev‚s"
"23";"T0207";"71 esp‚ces"
"24";"T0207";"Abondance Domin par G.Roux"
"25";"T0208";"0208"
"26";"T0208";"GEHU J.M."
"27";"T0208";"1961"
"28";"T0208";"Les groupements v‚g‚taux de la Sambre fran‡aise.- Vegetatio , X"
"29";"T0208";"Ass. … Poa compressa et Saxifraga tridactylites"
"30";"T0208";"XXV 1-8"
"31";"T0208";"8 relev‚s"
"32";"T0208";"36 esp‚ces"
"33";"T0208";"Ajouts et correct. G.Roux"
"34";"T0209";"0209"
"35";"T0209";"GEHU J.M."
"36";"T0209";"1961"
"37";"T0209";"Les groupements v‚g‚taux de la Sambre fran‡aise.- Vegetatio, X"
"38";"T0209";"Mesobromion"
"39";"T0209";"204(1) 1"
"40";"T0209";"1 relev‚"
"41";"T0209";"36 esp‚ces"
"42";"T0209";"Ajouts et corrections G.Roux"
"43";"T0210";"0210"
"44";"T0210";"GEHU J.M."
"45";"T0210";"1961"
"46";"T0210";"Les groupements v‚g‚taux de la Sambre fran‡aise.- Vegetatio, X"
"47";"T0210";"Mesobromion"
"48";"T0210";"204(2) 1"
"49";"T0210";"1 relev‚"
"50";"T0210";"41 esp‚ces"
"51";"T0210";"Ajouts et correction G.Roux"
"52";"T0211";"0211"
"53";"T0211";"GEHU J.M."
"54";"T0211";"1961"
"55";"T0211";"Les groupements v‚g‚taux de la Sambre fran‡aise.- Vegetatio, X"
"56";"T0211";"Gpmt … Sedum acre et Thymus serpyllum"
"57";"T0211";"204(3) 1"
"58";"T0211";"1 relev‚"
"59";"T0211";"16 esp‚ces"
"60";"T0211";"Ajouts et corrections G.Roux"
"61";"T0212";"0212"
"62";"T0212";"ALLORGE P."
"63";"T0212";"1922"
"64";"T0212";"Les associations végétales du Vexin français"
"65";"T0212";"Thèse"
"66";"T0212";"Pelouse calcaire a Festuca duriuscula et Sesleria coerulea"
"67";"T0212";"XIV 1-28 (tableau en présence -absence avec qqs indic. d'abondance)"
"68";"T0213";"0213"
"69";"T0213";"DE LITARDIERE R."
"70";"T0213";"Etudes sociologiques sur les pelouses x‚rophiles calcaires du domaine atlantique fran‡ais.- Arch. Bot., II, 2: 1-47."
"71";"T0213";"Mesobromion"
