"";"strsplit(filename, ""\\."")[[1]][1]";"header"
"1";"T0103";"0103"
"2";"T0103";"BRAUN-BLANQUET J."
"3";"T0103";"1954"
"4";"T0103";"La v‚g‚tation alpine et nivale des Alpes fran‡aises.- SIGMA nø125."
"5";"T0103";"Thlaspeion rotundifolii"
"6";"T0103";"Thlaspeetum subass. … Avena montana"
"7";"T0103";"16 1"
"8";"T0103";"A/D G.Roux 1994"
"9";"T0104";"0104"
"10";"T0104";"BRAUN-BLANQUET J."
"11";"T0104";"1954"
"12";"T0104";"La v‚g‚tation alpine et nivale des Alpes fran‡aises.- SIGMA nø125."
"13";"T0104";"Nardion"
"14";"T0104";"Alopecuro-Caricetum foetidae"
"15";"T0104";"23 1"
"16";"T0104";"Corr. & A/D G.Roux 1994"
"17";"T0105";"0105"
"18";"T0105";"BRAUN-BLANQUET J."
"19";"T0105";"1954"
"20";"T0105";"La v‚g‚tation alpine et nivale des Alpes fran‡aises.- SIGMA nø125."
"21";"T0105";"Cratoneurion commutati"
"22";"T0105";"Cratoneuro-Arabidetum bellidifoliae"
"23";"T0105";"27 1"
"24";"T0105";"A/D & Bryophytes G.Roux 1994"
"25";"T0106";"0106"
"26";"T0106";"BRAUN-BLANQUET J."
"27";"T0106";"1954"
"28";"T0106";"La v‚g‚tation alpine et nivale des Alpes fran‡aises.- SIGMA nø 125."
"29";"T0106";"Caricion davallianae"
"30";"T0106";"Caricetum davallianae"
"31";"T0106";"I 1-5"
"32";"T0106";"Corr. Bryophytes & A/D G.Roux 1994"
"33";"T0107";"0107"
"34";"T0107";"BRAUN-BLANQUET J."
"35";"T0107";"1954"
"36";"T0107";"La v‚g‚tation alpine et nivale des Alpes fran‡aises.- SIGMA nø 125."
"37";"T0107";"Seslerion variae"
"38";"T0107";"Festuco-Trifolietum thalii"
"39";"T0107";"41 1  "
"40";"T0107";"A/D G.Roux 1994"
"41";"T0108";"0108"
"42";"T0108";"BRAUN-BLANQUET J."
"43";"T0108";"1954"
"44";"T0108";"La v‚g‚tation alpine et nivale des Alpes fran‡aises.- SIGMA nø 125."
"45";"T0108";"Oxytropo-Elynion"
"46";"T0108";"Elynetum"
"47";"T0108";"44 1"
"48";"T0108";"A/D G.Roux 1994"
"49";"T0109";"0109"
"50";"T0109";"BRAUN-BLANQUET J."
"51";"T0109";"1954"
"52";"T0109";"La v‚g‚tation alpine et nivale des Alpes fran‡aises.- SIGMA nø 125."
"53";"T0109";"Oxytropo-Elynion"
"54";"T0109";"Elynetum"
"55";"T0109";"45 1"
"56";"T0109";"A/D G.Roux 1994"
"57";"T0110";"0110"
"58";"T0110";"BRAUN-BLANQUET J."
"59";"T0110";"1954"
"60";"T0110";"La v‚g‚tation alpine et nivale des Alpes fran‡aises.- SIGMA nø 125."
"61";"T0110";"Caricion curvulae"
"62";"T0110";"Curvuletum elynetosum"
"63";"T0110";"III 1-9"
"64";"T0110";"Corr. & A/D G.Roux 1994 "
"65";"T0111";"0111"
"66";"T0111";"BRAUN-BLANQUET J."
"67";"T0111";"1967"
"68";"T0111";"Une association bor‚o-arctique nouvelle pour les Alpes fran‡aises, le Kobresietum simpliusculae.- SIGMA nø175."
"69";"T0111";"Caricion bicoloris-atrofuscae"
"70";"T0111";"Kobresietum simpliusculae"
"71";"T0111";"I 1-6"
"72";"T0111";"Corr. & A/D G.Roux 1994"
"73";"T0112";"0112"
"74";"T0112";"BRAUN-BLANQUET J."
"75";"T0112";"1967"
"76";"T0112";"Une association boreo-arctique nouvelle pour les Alpes fran‡aises, le Kobresietum simpliusculae.- SIGMA nø 175."
"77";"T0112";"Salicion pentandrae"
"78";"T0112";"Salicetum caesio-arbusculae"
"79";"T0112";"II 1-5  "
"80";"T0112";"Corr. & A/D G.Roux 1994"
"81";"T0113";"0113"
"82";"T0113";"BRAUN-BLANQUET J."
"83";"T0113";"1969"
"84";"T0113";"Une association end‚mique des Alpes sud-occidentales, le Myrrhido-Adenostyletum.- SIGMA nø 181."
"85";"T0113";"Adenostylion alliariae"
"86";"T0113";"Myrrhido-Adenostyletum"
"87";"T0113";"I 1-6"
"88";"T0114";"0114"
"89";"T0114";"PIGNATTI S."
"90";"T0114";"1959"
"91";"T0114";"D‚veloppement du sol et de la v‚g‚tation sur la plage de Carnon (Languedoc).- SIGMA, nø152."
"92";"T0114";"Ammophilion"
"93";"T0114";"Agropyretum"
"94";"T0114";"I 1-8"
"95";"T0114";"Corr. & A/D G.Roux 1994"
"96";"T0115";"0115"
"97";"T0115";"PIGNATTI S."
"98";"T0115";"1959"
"99";"T0115";"D‚veloppement du sol et de la v‚g‚tation sur la plage de Carnon (Languedoc).- SIGMA, nø 152."
"100";"T0115";"Ammophilion"
"101";"T0115";"Ammophiletum"
"102";"T0115";"I 9-16"
"103";"T0115";"Corr. & A/D G.Roux 1994"
"104";"T0116";"0116"
"105";"T0116";"PIGNATTI S."
"106";"T0116";"1959"
"107";"T0116";"D‚veloppement du sol et de la v‚g‚tation sur la plage de Carnon (Languedoc).- SIGMA nø 152."
"108";"T0116";"Ammophilion"
"109";"T0116";"Crucianelletum"
"110";"T0116";"I 16-31"
"111";"T0116";"Corr. & A/D G.Roux 1994"
"112";"T0117";"0117"
"113";"T0117";"PIGNATTI S."
"114";"T0117";"1959"
"115";"T0117";"D‚veloppement du sol et de la v‚g‚tation sur la plage de Carnon (Languedoc).- SIGMA, nø 152."
"116";"T0117";"Molinio-Holoschoenion"
"117";"T0117";"Holoschoenetum"
"118";"T0117";"II 1-7 & 74 1"
"119";"T0117";"Corr. & A/D G.Roux"
"120";"T0118";"0118"
"121";"T0118";"PIGNATTI S. "
"122";"T0118";"1959"
"123";"T0118";"D‚veloppement su sol et de la v‚g‚taion sur la plage de Carnon (Languedoc).- SIGMA nø152."
"124";"T0118";"Schoeno-Plantaginetum"
"125";"T0118";"II 8-12"
"126";"T0118";"Corr. & A/D G.Roux 1994"
"127";"T0119";"0119"
"128";"T0119";"PIGNATTI S."
"129";"T0119";"1959"
"130";"T0119";"D‚veloppement du sol et de la v‚g‚tation sur la plage de Carnon (Languedoc).- SIGMA nø 152."
"131";"T0119";"Transition Schoeno-Plantaginetum/Artemisietum"
"132";"T0119";"75 1-3"
"133";"T0119";"Corr. & A/D G.Roux 1994"
"134";"T0120";"0120"
"135";"T0120";"PIGNATTI S."
"136";"T0120";"1959"
"137";"T0120";"D‚veloppement su sol et de la v‚g‚tation sur la plage de Carnon (Languedoc).- SIGMA nø152."
"138";"T0120";"Staticion"
"139";"T0120";"Artemisietum"
"140";"T0120";"II 13-14"
"141";"T0120";"Corr. & A/D G.Roux 1994"
"142";"T0121";"0121"
"143";"T0121";"PIGNATTI S."
"144";"T0121";"1959"
"145";"T0121";"D‚veloppement du sol et de la v‚g‚tation sur la plage de Carnon (Languedoc).- SIGMA nø152."
"146";"T0121";"Salicornietum fruticosae"
"147";"T0121";"II 15"
"148";"T0121";"Corr. & A/D G.Roux 1994"
"149";"T0122";"0122"
"150";"T0122";"LIPPMAA T."
"151";"T0122";"1933"
"152";"T0122";"Aper‡u g‚n‚ral sur la v‚g‚tation autochtone du Lautaret (Hautes Alpes)"
"153";"T0122";"Oxyrietum digynae"
"154";"T0122";"24 1"
"155";"T0122";"A/D G.Roux 1994"
"156";"T0123";"0123"
"157";"T0123";"LIPPMAA T."
"158";"T0123";"1933"
"159";"T0123";"Aper‡u g‚n‚ral sur la v‚g‚tation autochtone du Lautaret (Hautes Alpes)"
"160";"T0123";"Ass. … Arabis caerulea"
"161";"T0123";"25 1"
"162";"T0123";"A/D G.Roux 1994"
"163";"T0124";"0124"
"164";"T0124";"LIPPMAA T."
"165";"T0124";"1933"
"166";"T0124";"Aper‡u g‚n‚ral sur la v‚g‚tation autochtone du Lautaret (Hautes Alpes)"
"167";"T0124";"I 1-4"
"168";"T0124";"Triseto-Doronicetum grandiflorii Lippmaa"
"169";"T0124";"Corr. & A/D G.Roux 1994"
"170";"T0125";"0125"
"171";"T0125";"LIPPMAA T."
"172";"T0125";"1933"
"173";"T0125";"Aper‡u g‚n‚ral sur la v‚g‚tation autochtone du Lautaret (Hautes Alpes)"
"174";"T0125";"Elynetum bellardii Lippmaa 1933"
"175";"T0125";"II 1-4"
"176";"T0125";"Corr. & A/D G.Roux 1994"
"177";"T0126";"0126"
"178";"T0126";"LIPPMAA T."
"179";"T0126";"1933"
"180";"T0126";"Aper‡u g‚n‚ral sur la v‚g‚tation autochtone du Lautaret (Hautes Alpes)"
"181";"T0126";"Caricetum sempervirentis Lippmaa"
"182";"T0126";"III 1-3"
"183";"T0126";"Corr. & A/D G.Roux 1994"
"184";"T0127";"0127"
"185";"T0127";"LIPPMAA T."
"186";"T0127";"1933"
"187";"T0127";"Aper‡u g‚n‚ral sur la v‚g‚tation autochtone du Lautaret (Hautes Alpes)"
"188";"T0127";"Caricetum sempervirentis stade initial"
"189";"T0127";"84 1"
"190";"T0128";"0128"
"191";"T0128";"LIPPMAA T."
"192";"T0128";"1933"
"193";"T0128";"Aper‡u g‚n‚ral sur la v‚g‚tation autochtone du Lautaret (Hautes Alpes)"
"194";"T0128";"Gentianetum punctatae, Alopecuretum gerardii & Salici-Alchemilletum pentaphyllae"
"195";"T0128";"IV 1-12"
"196";"T0128";"Corr. & A/D G.Roux 1994"
"197";"T0129";"0129"
"198";"T0129";"LIPPMAA T."
"199";"T0129";"Aper‡u g‚n‚ral sur la v‚g‚tation autochtone du Lautaret (Hautes Alpes)"
"200";"T0129";"Epilobietum fleischeri"
"201";"T0129";"V 1-4"
"202";"T0129";"Corr. & A/D G.Roux 1994 "
"203";"T0130";"0130"
"204";"T0130";"LIPPMAA T."
"205";"T0130";"1933"
"206";"T0130";"Aper‡u g‚n‚ral sur la v‚g‚tation autochtone du Lautaret (Hautes Alpes)"
"207";"T0130";"Centranthetum angustifolii"
"208";"T0130";"VI 1-3"
"209";"T0130";"Corr. & A/D G.Roux 1994"
"210";"T0131";"0131"
"211";"T0131";"LIPPMAA T."
"212";"T0131";"1933"
"213";"T0131";"Aper‡u g‚n‚ral sur la v‚g‚tation autochtone du Lautaret (Hautes Alpes)"
"214";"T0131";"Seslerio-Avenetum montanae"
"215";"T0131";"VII 1-4"
"216";"T0131";"Corr. & A/D G.Roux 1994  "
"217";"T0132";"0132"
"218";"T0132";"LIPPMAA T."
"219";"T0132";"1933"
"220";"T0132";"Aper‡u g‚n‚ral sur la v‚g‚tation autochtone du Lautaret (Hautes Alpes)"
"221";"T0132";"Association … Bromus erectus  "
"222";"T0132";"57 1 "
"223";"T0132";"Corr. & A/D G.Roux 1994"
"224";"T0133";"0133"
"225";"T0133";"LIPPMAA T."
"226";"T0133";"1933"
"227";"T0133";"Aper‡u g‚n‚ral sur la v‚g‚tation autochtone du Lautaret (Hautes Alpes)"
"228";"T0133";"Festucetum spadiceae"
"229";"T0133";"VIII 1-6"
"230";"T0133";"Corr. & A/D G.Roux 1994"
"231";"T0134";"0134"
"232";"T0134";"LIPPMAA T."
"233";"T0134";"1933"
"234";"T0134";"Aper‡u g‚n‚ral sur la v‚g‚tation autochtone du Lautaret (Hautes Alpes)"
"235";"T0134";"Meeo-Anemonetum alpinae  "
"236";"T0134";"IX 1-3"
"237";"T0134";"Corr. & A/D G.Roux 1994"
"238";"T0135";"0135"
"239";"T0135";"LIPPMAA T."
"240";"T0135";"1933"
"241";"T0135";"Aper‡u g‚n‚ral sur la v‚g‚tation autochtone du Lautaret (Hautes-Alpes)"
"242";"T0135";"Centaureetum montanae"
"243";"T0135";"X 1-4"
"244";"T0135";"Corr. & A/D G.Roux 1994"
"245";"T0135";" 71 esp‚ces"
"246";"T0136";"0136"
"247";"T0136";"LIPPMAA T."
"248";"T0136";"1933"
"249";"T0136";"Aper‡u g‚n‚ral sur la v‚g‚tation autochtone du Lautaret (Hautes Alpes)"
"250";"T0136";"Sanguisorbo-Allietum schoenoprasis  "
"251";"T0136";"XI 1-4"
